Text,Question,Answer,Template
"A puffy down jacket keeps you warm in the winter for the same reason .","Why does A puffy down jacket keep you warm in the winter ?","for the same reason","AmCauQgTemplate"
"Q : How could you use a rope to produce standing waves ? A : You could tie one end of the rope to a fixed object , such as doorknob , and move the other end up and down to generate waves in the rope .","For what purpose do You move the other end up and down ?","to generate waves in the rope","AmPncQgTemplate"
"Uranium-238 undergoes alpha decay to become thorium-234 .","For what purpose does Uranium-238 undergo alpha decay ?","to become thorium-234","AmPncQgTemplate"
"It contains a large amount of energy for its weight .","For what purpose does It contain a large amount of energy ?","for its weight","AmPncQgTemplate"
"The oxygen atom attracts the shared electrons more strongly because its nucleus has more positively charged protons .","Why does The oxygen atom attract the shared electrons more strongly ?","because its nucleus has more positively charged protons","AmCauQgTemplate"
"The earlier growth rate equation can be modified to account for migration : growth rate = ( birth rate + immigration rate ) ( death rate + emigration rate ) .","For what purpose can The earlier growth rate equation be modified ?","to account for migration : growth rate = ( birth rate + immigration rate ) ( death rate + emigration rate","AmPncQgTemplate"
"Vitamins are organic compounds that the body needs in small amounts to function properly .","For what purpose does the body need organic compounds in small amounts ?","to function properly","AmPncQgTemplate"
"Air pollution started to be a problem when early people burned wood for heat and cooking fires in enclosed spaces such as caves and small tents or houses .","For what purpose did early people burn wood when ?","for heat","AmPncQgTemplate"
"Elliptical galaxies are red to yellow in color because they contain mostly old stars .","Why are Elliptical galaxies are red to yellow in color ?","because they contain mostly old stars","AmCauQgTemplate"
"Because they contain lots of young stars , spiral arms tend to be blue .","Why do spiral arms tend to be blue ?","Because they contain lots of young stars","AmCauQgTemplate"
"To see in greater detail how allergies occur , watch this animated video : .","For what purpose do this animated video watch ?","To see in greater detail how allergies occur","AmPncQgTemplate"
"Levees occur because floodwaters deposit their biggest sediments first when they overflow the rivers banks .","Why do Levees occur ?","because floodwaters deposit their biggest sediments first when they overflow the rivers banks","AmCauQgTemplate"
"Also , do your best to avoid secondhand smoke .","For what purpose do your best do ?","to avoid secondhand smoke","AmPncQgTemplate"
"Because Mercury is so close to the Sun , it is difficult to observe from Earth , even with a telescope .","Why is it difficult to observe from Earth , even with a telescope ?","Because Mercury is so close to the Sun","AmCauQgTemplate"
"Untreated diabetes may damage capillaries in the kidneys so the nephrons can no longer filter blood .","For what purpose may Untreated diabetes can damage capillaries in the kidneys ?","so the nephrons can no longer filter blood","AmPncQgTemplate"
"The Colorado River cuts through all the layers of rock to form the canyon .","For what purpose does The Colorado River cut through all the layers of rock ?","to form the canyon","AmPncQgTemplate"
"The bending of light through droplets of water is why we can see rainbows .","Why can we see rainbows ?","why","AmCauQgTemplate"
"Less energy is needed to remove just one or a few valence electrons than many .","For what purpose is Less energy needed ?","to remove just one or a few valence electrons than many","AmPncQgTemplate"
"Less energy is also needed to remove electrons from larger atoms in the same group .","For what purpose is Less energy needed ?","to remove electrons from larger atoms in the same group","AmPncQgTemplate"
